name,cat1,cat2,address,lat,long,kakao,naver
바론중식,일반식당,중식,서울 금천구 가산디지털1로 5 대륭테크노타운20차 1층 129호,37.4667255,126.886705,785539103,1677407307
미스사이공,일반식당,베트남,서울 금천구 가산디지털1로 5 대륭테크노타운20차 1층 122~123호,37.4667255,126.886705,403237746,1173212401
1992덮밥&짜글이,일반식당,한식,서울 금천구 가산디지털1로 5 대륭테크노타운20차 2층 203~205호,37.4667255,126.886705,1013172307,1570917801
천지회관,일반식당,한식,서울 금천구 가산디지털1로 24 1층,37.4684023,126.887640,939422778,1044792140
프랭크버거,일반식당,패스트푸드,서울 금천구 가산디지털1로 16 가산2차 SKV1 AP타워 105-1,37.4675918,126.888071,429167328,1884354068
란콰이펑누들,일반식당,중식,서울 금천구 가산디지털1로 16 1층,37.4675918,126.888071,429167328,1024855408
담소소사골순대육개장,일반식당,한식,서울 금천구 가산디지털1로 5 대륭테크노타운20차 1층,37.4667255,126.886705,121147860,1918703178
한국수,일반식당,한식,서울 금천구 가산디지털1로 5 대륭20차 2층 207호,37.4667255,126.886705,444394193,1601458531
만월스시,일반식당,일식,서울 금천구 가산디지털1로 5 대륭20차 2층 206호,37.4667255,126.886705,99121494,1913136698
국수나무,일반식당,분식,서울 금천구 가산디지털1로 30 에이스하이엔드타워 10차,37.4687895,126.887482,1382689398,38229151
일등카레,일반식당,일식,서울 금천구 가산디지털1로 24 대륭테크노타운13차 1층 101호,37.4684023,126.887640,194976673,1325843604
킹콩부대찌개,일반식당,한식,서울 금천구 가산디지털1로 25 대륭테크노타운 17차 B1 103호,37.4682657,126.886182,2116294452,1609585582
더좋은밥상,구내식당,,서울 금천구 가산디지털1로 25 대륭테크노타운17차 지하1층 101호,37.4682657,126.886182,1608414642,1584804732
동남집,일반식당,한식,서울 금천구 가산디지털1로 25 104호,37.4682657,126.886182,1289461161,1730411577
병천감자탕순대,일반식당,한식,서울 금천구 가산디지털1로 25 지하 104호,37.4682657,126.886182,941259354,1308695712
일미집,일반식당,한식,서울 금천구 가산디지털1로 2 우림라이온스밸리2차 1층 107~108호,37.4668171,126.888310,924525205,1870140921
김치도가,일반식당,한식,서울 금천구 가산디지털1로 2 우림라이온스밸리2차 1층 115~116호,37.4668171,126.888310,570820042,1293335090
우림라이온스밸리2차 구내식당,구내식당,,서울 금천구 가산디지털1로 2 우림라이온스밸리2차 1층 115~116호,37.4668171,126.888310,,1428896782
고기식당,일반식당,한식,서울 금천구 가산디지털1로 19 대륭테크노타운18차 1층 103호,37.4675902,126.886500,965497877,1588858360
SK구내식당,구내식당,,서울 금천구 가산디지털1로 16 지하1층,37.4675918,126.888071,1730488332,